p,mean_lambda_2,std_lambda_2,mean_trace,mean_lambda_max,mean_lambda_cond,mean_critical_sigma,std_critical_sigma
0.65,4.046217964,0.350229221,250,5.963782036,1.49051605,0.202382813,0.004475044
0.66,4.105147186,0.359497485,250,5.914852814,1.45732731,0.201931641,0.003067823
0.67,4.213431458,0.437389904,250,5.786568542,1.39655154,0.202060547,0.00499896
0.68,4.347573593,0.494307378,250,5.652426407,1.328663655,0.201123047,0.002148682
0.69,4.303431458,0.484553677,250,5.696568542,1.35155154,0.202154297,0.006255823
0.7,4.261715729,0.452698945,250,5.738284271,1.37077577,0.201193359,0.002398274
0.71,4.195857864,0.40417252,250,5.804142136,1.402887885,0.202447266,0.00564419
0.72,4.221005051,0.461699977,250,5.818994949,1.405215195,0.201339844,0.003671617
0.73,4.241715729,0.441593664,250,5.758284271,1.38077577,0.20175,0.004616935
0.74,4.351715729,0.489619754,250,5.648284271,1.32577577,0.201404297,0.002900071
0.75,4.385857864,0.492777269,250,5.614142136,1.307887885,0.200865234,0.001974349
0.76,4.335857864,0.478450858,250,5.664142136,1.332887885,0.202013672,0.005110003
0.77,4.543431458,0.521099958,250,5.456568542,1.23155154,0.200876953,0.002441405
0.78,4.605857864,0.494623066,250,5.394142136,1.197887885,0.200929688,0.003955994
0.79,4.655857864,0.481213248,250,5.344142136,1.172887885,0.200554688,0.001697359
0.8,4.51,0.49989999,250,5.49,1.245,0.200806641,0.002459954
0.81,4.78,0.414246304,250,5.22,1.11,0.200296875,0.000674312
0.82,4.79,0.407308237,250,5.21,1.105,0.200554688,0.002150606
0.83,4.741715729,0.450876075,250,5.268284271,1.13327577,0.200964844,0.004556379
0.84,4.82,0.384187454,250,5.18,1.09,0.200150391,0.000187042
0.85,4.765857864,0.430322507,250,5.234142136,1.117887885,0.200367188,0.001149453
0.86,4.93,0.255147016,250,5.07,1.035,0.200203125,0.000738281
0.87,4.87,0.336303434,250,5.13,1.065,0.200466797,0.002596245
0.88,4.86,0.346987031,250,5.14,1.07,0.200560547,0.003527611
0.89,4.94,0.237486842,250,5.06,1.03,0.200121094,0.00011482
0.9,4.95,0.217944947,250,5.05,1.025,0.200121094,0.00011482
0.91,4.95,0.217944947,250,5.05,1.025,0.200126953,0.000192112
0.92,4.92,0.271293199,250,5.08,1.04,0.200150391,0.000204575
0.93,4.91,0.28618176,250,5.09,1.045,0.200167969,0.000238441
0.94,4.97,0.170587221,250,5.03,1.015,0.200115234,1.00E-04
0.95,5,0,250,5,1,0.200097656,1.39E-16
0.96,5,0,250,5,1,0.200097656,1.39E-16
0.97,5,0,250,5,1,0.200097656,1.39E-16
0.98,5,0,250,5,1,0.200097656,1.39E-16
0.99,5,0,250,5,1,0.200097656,1.39E-16
1,5,0,250,5,1,0.200097656,1.39E-16
