p,mean_lambda_2,std_lambda_2,mean_trace,mean_lambda_max,mean_lambda_cond,mean_critical_sigma,std_critical_sigma
0.65,2.759090934,0.247314641,200,5.315642622,1.952317428,0.296789063,0.007164446
0.66,2.739586151,0.246815297,200,5.31936279,1.96705475,0.297015625,0.011262406
0.67,2.783237986,0.274365956,200,5.351051731,1.951591355,0.296492188,0.01040119
0.68,2.800711253,0.26938529,200,5.315813376,1.923305383,0.29665625,0.010068479
0.69,2.811045818,0.251736277,200,5.278937222,1.903136527,0.294539063,0.007264781
0.7,2.82923568,0.265604846,200,5.229124652,1.875892036,0.2949375,0.00941332
0.71,2.91023775,0.276980655,200,5.138366901,1.789721481,0.292664063,0.005575843
0.72,2.895602627,0.311144057,200,5.159978313,1.812790676,0.29403125,0.009652166
0.73,2.884743648,0.253619746,200,5.168003138,1.81183142,0.29390625,0.007300822
0.74,2.901757749,0.25556312,200,5.165032165,1.801985109,0.292796875,0.007552777
0.75,3.016528351,0.326591865,200,5.037249493,1.697857548,0.292960938,0.008854355
0.76,2.9341268,0.261178804,200,5.086456954,1.755245766,0.291859375,0.005775631
0.77,2.996594078,0.299025027,200,5.05304163,1.711145937,0.291203125,0.007472378
0.78,3.057586361,0.360522174,200,4.969302561,1.657465413,0.291789063,0.006585242
0.79,3.040294373,0.330098635,200,4.969705627,1.661260359,0.291078125,0.005741714
0.8,3.114436508,0.407157589,200,4.915563492,1.616988662,0.29021875,0.005636901
0.81,3.144436508,0.433602481,200,4.865563492,1.590321995,0.29015625,0.004994504
0.82,3.219289322,0.447762032,200,4.780710678,1.528025149,0.289664063,0.006328467
0.83,3.203431458,0.430672215,200,4.806568542,1.54042012,0.288859375,0.004287803
0.84,3.285857864,0.458258672,200,4.714142136,1.47760503,0.2891875,0.003881515
0.85,3.363431458,0.504757854,200,4.636568542,1.43042012,0.288226563,0.003117677
0.86,3.329289322,0.500147165,200,4.670710678,1.454691816,0.288460938,0.003871494
0.87,3.441715729,0.5082506,200,4.558284271,1.37521006,0.288625,0.00456456
0.88,3.465857864,0.504670367,200,4.534142136,1.35760503,0.287570313,0.003125186
0.89,3.475857864,0.505247486,200,4.524142136,1.350938363,0.287554688,0.003344361
0.9,3.65,0.476969601,200,4.35,1.233333333,0.286976563,0.001675795
0.91,3.68,0.466476152,200,4.32,1.213333333,0.287335938,0.00319128
0.92,3.76,0.42708313,200,4.24,1.16,0.286804688,0.001721925
0.93,3.82,0.384187454,200,4.18,1.12,0.286640625,0.000883883
0.94,3.8,0.4,200,4.2,1.133333333,0.286882813,0.002423878
0.95,3.87,0.336303434,200,4.13,1.086666667,0.286476563,0.000696102
0.96,3.93,0.255147016,200,4.07,1.046666667,0.2865,0.000928209
0.97,3.97,0.170587221,200,4.03,1.02,0.286421875,0.000577068
0.98,3.99,0.099498744,200,4.01,1.006666667,0.286335937,7.77E-05
0.99,4,0,200,4,1,0.286328125,5.55E-17
1,4,0,200,4,1,0.286328125,5.55E-17
