p,mean_lambda_2,std_lambda_2,mean_trace,mean_lambda_max,mean_lambda_cond,mean_critical_sigma,std_critical_sigma
0.35,5.736406369,0.264192824,350,8.306965677,1.453583033,0.146328125,0.004380882
0.36,5.787182498,0.237327853,350,8.330170686,1.443720018,0.146943359,0.004624939
0.37,5.779841575,0.329901369,350,8.265220411,1.437716042,0.147099609,0.004891896
0.38,5.891561613,0.357805906,350,8.135327309,1.389060659,0.145683594,0.003574486
0.39,5.907097679,0.447716921,350,8.124152074,1.388294107,0.145556641,0.004001226
0.4,5.883765989,0.377152276,350,8.13794974,1.392524038,0.145751953,0.004568758
0.41,5.915119083,0.170920263,350,8.110738781,1.37327019,0.144628906,0.003990785
0.42,5.978415006,0.313533836,350,8.038473915,1.350721907,0.144970703,0.003634007
0.43,6.042382552,0.430567734,350,7.997253156,1.334849277,0.144160156,0.002077486
0.44,5.964485808,0.36811853,350,8.068260978,1.361265641,0.144550781,0.002736049
0.45,6.023532511,0.347351951,350,8.002325354,1.335778626,0.143955078,0.001611151
0.46,6.030294373,0.315707136,350,7.989705627,1.330763378,0.144169922,0.002722684
0.47,6.221005051,0.461699977,350,7.798994949,1.265445304,0.143740234,0.001459593
0.48,6.135482429,0.441076791,350,7.881406492,1.295712782,0.143886719,0.001723405
0.49,6.067908836,0.350920829,350,7.938980085,1.315521938,0.144365234,0.002796637
0.5,6.071005051,0.327060215,350,7.938994949,1.313778637,0.144052734,0.002701021
0.51,6.144824711,0.418157344,350,7.855175289,1.28812477,0.14375,0.002198893
0.52,6.127573593,0.358987694,350,7.872426407,1.291857511,0.143564453,0.001509697
0.53,6.147573593,0.378641283,350,7.852426407,1.285190845,0.143583984,0.001431622
0.54,6.391715729,0.499990245,350,7.628284271,1.206793896,0.143701172,0.001910547
0.55,6.419289322,0.522278765,350,7.580710678,1.195318074,0.143515625,0.001636551
0.56,6.395857864,0.494987151,350,7.604142136,1.201730282,0.1434375,0.001067808
0.57,6.49,0.49989999,350,7.51,1.17,0.143291016,0.000779478
0.58,6.595857864,0.496657965,350,7.404142136,1.135063615,0.143164063,0.000323889
0.59,6.6,0.489897949,350,7.4,1.133333333,0.143261719,0.000601994
0.6,6.64,0.48,350,7.36,1.12,0.143193359,0.000429132
0.61,6.53,0.499099189,350,7.47,1.156666667,0.143535156,0.001829485
0.62,6.71,0.453762052,350,7.29,1.096666667,0.143378906,0.001218788
0.63,6.78,0.414246304,350,7.22,1.073333333,0.143339844,0.001801116
0.64,6.82,0.384187454,350,7.18,1.06,0.143105469,0.000191366
0.65,6.8,0.4,350,7.2,1.066666667,0.143271484,0.001115976
0.66,6.81,0.392300905,350,7.19,1.063333333,0.143232422,0.001180429
0.67,6.71,0.453762052,350,7.29,1.096666667,0.143212891,0.000523623
0.68,6.875857864,0.338509572,350,7.124142136,1.041730282,0.143066406,0
0.69,6.87,0.336303434,350,7.13,1.043333333,0.143105469,0.000191366
0.7,6.915857864,0.287958506,350,7.084142136,1.028396948,0.143154297,0.000782409
0.71,6.92,0.271293199,350,7.08,1.026666667,0.143095703,0.000166589
0.72,6.95,0.217944947,350,7.05,1.016666667,0.143066406,0
0.73,7,0,350,7,1,0.143066406,0
0.74,6.99,0.099498744,350,7.01,1.003333333,0.143066406,0
0.75,6.97,0.170587221,350,7.03,1.01,0.143085938,0.000194333
0.76,6.89,0.312889757,350,7.11,1.036666667,0.143095703,0.000166589
0.77,6.94,0.237486842,350,7.06,1.02,0.143085938,0.000194333
0.78,6.87,0.336303434,350,7.13,1.043333333,0.143154297,0.000782409
0.79,6.96,0.195959179,350,7.04,1.013333333,0.143076172,9.72E-05
0.8,7,0,350,7,1,0.143066406,0
0.81,7,0,350,7,1,0.143066406,0
0.82,7,0,350,7,1,0.143066406,0
0.83,7,0,350,7,1,0.143066406,0
0.84,7,0,350,7,1,0.143066406,0
0.85,7,0,350,7,1,0.143066406,0
0.86,7,0,350,7,1,0.143066406,0
0.87,7,0,350,7,1,0.143066406,0
0.88,7,0,350,7,1,0.143066406,0
0.89,7,0,350,7,1,0.143066406,0
0.9,7,0,350,7,1,0.143066406,0
0.91,6.98,0.14,350,7.02,1.006666667,0.143066406,0
0.92,6.99,0.099498744,350,7.01,1.003333333,0.143076172,9.72E-05
0.93,7,0,350,7,1,0.143066406,0
0.94,7,0,350,7,1,0.143066406,0
0.95,7,0,350,7,1,0.143066406,0
0.96,7,0,350,7,1,0.143066406,0
0.97,7,0,350,7,1,0.143066406,0
0.98,7,0,350,7,1,0.143066406,0
0.99,7,0,350,7,1,0.143066406,0
1,7,0,350,7,1,0.143066406,0
