p,mean_lambda_2,std_lambda_2,mean_trace,mean_lambda_max,mean_lambda_cond,mean_critical_sigma,std_critical_sigma
0,4.221928432,0.132877152,350,10.64228377,2.523506811,0.175166016,0.011494979
0.01,4.270925311,0.123766797,350,10.5315694,2.468355562,0.175058594,0.013993919
0.02,4.333468513,0.15408306,350,10.38137584,2.399164825,0.174951172,0.011914363
0.03,4.421054969,0.150569023,350,10.24984724,2.322011442,0.1684375,0.010906922
0.04,4.439169441,0.212115419,350,10.19329153,2.304101047,0.169111328,0.011691909
0.05,4.407787367,0.153421395,350,10.21498625,2.3216044,0.170585938,0.013272185
0.06,4.548017458,0.186023047,350,9.974689597,2.19853901,0.166201172,0.010131519
0.07,4.585748795,0.210149757,350,9.91222951,2.167345709,0.163759766,0.010238265
0.08,4.667267446,0.194990691,350,9.836905817,2.113144064,0.164042969,0.010881098
0.09,4.679917598,0.221311796,350,9.830581189,2.107613575,0.161298828,0.009736338
0.1,4.761766539,0.19831163,350,9.757404707,2.054679838,0.160302734,0.010571599
0.11,4.817435892,0.240934228,350,9.536319383,1.986688028,0.159550781,0.010053643
0.12,4.884062514,0.192782755,350,9.518507367,1.952859649,0.156630859,0.007205278
0.13,4.831508703,0.212520774,350,9.604687351,1.993498183,0.161923828,0.010078669
0.14,4.906192199,0.220796385,350,9.488571883,1.939700208,0.158037109,0.009261453
0.15,4.946114527,0.201041437,350,9.37015467,1.898958489,0.155810547,0.006907238
0.16,5.06071941,0.209622309,350,9.230300885,1.828555057,0.153076172,0.006836461
0.17,5.109056267,0.212718824,350,9.189325983,1.802889316,0.153798828,0.006659977
0.18,5.169299983,0.181209307,350,9.040267839,1.751866247,0.151669922,0.005568453
0.19,5.150629711,0.190060183,350,9.142427729,1.778521048,0.153066406,0.00713642
0.2,5.073437984,0.219939862,350,9.210257065,1.820481841,0.154912109,0.00833993
0.21,5.101660168,0.228783686,350,9.148067928,1.79841227,0.153925781,0.007005813
0.22,5.186362808,0.20065787,350,9.040014237,1.747253258,0.151787109,0.005982201
0.23,5.292523422,0.2564008,350,8.900589567,1.688703356,0.150625,0.006724283
0.24,5.276267763,0.249637849,350,8.880726229,1.689675115,0.151005859,0.005727112
0.25,5.302946872,0.219235058,350,8.927194847,1.688039474,0.152285156,0.008246398
0.26,5.36276318,0.269530112,350,8.776343628,1.643227605,0.149892578,0.007379989
0.27,5.435061655,0.265750939,350,8.715899104,1.610021023,0.149658203,0.007301887
0.28,5.437946697,0.248209592,350,8.701081337,1.605619483,0.149130859,0.006808392
0.29,5.463556937,0.234270598,350,8.69408761,1.595749349,0.148134766,0.005128013
0.3,5.530135647,0.266507315,350,8.55024509,1.55213577,0.147470703,0.00465175
0.31,5.565156273,0.295826928,350,8.560071442,1.545353595,0.146298828,0.003229145
0.32,5.73977506,0.252903819,350,8.341341269,1.458054482,0.146240234,0.003820781
0.33,5.763543194,0.236548088,350,8.281613039,1.441103168,0.145800781,0.003744197
0.34,5.737322012,0.246469479,350,8.314594507,1.453849914,0.145986328,0.003818584
